FASB157,Net Asset Value,Price Confirm,Asset Liability,Portfolio,Portfolio Name,Value Date,Investment Currency, Quantity , Account Type , Finance Account , FX Rate , Market Price , Book Market Price ,Price Date,Price Source,PM Price Source, Unit Cost , Local Cost , Book Cost Not , Local Mkt Value , Book Mkt Value , Local Cost Not , Book Curr Not , Local Curr Not , Book Unit Cost , Book Accrued Interest , Local Accrued Interest ,Strategy,Custodian Code,Custodian Account,Legal Entity,Investment,Security Description,Base Currency,IG NonIG,Custodian Name,Report Group Name,Source,Last Updated By,Last Updated Date,Top Level SecType,Mid Level SecType,Third Level SecType,FASB157
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,0,, N.A. ,1,97.9,97.9,12/29/2017,Bloomberg,,,,23200,23200,23200,23200,,,71.03, -   , -   ,,CREDIT SUISSE,,,Position 232,Position 232,USD,Indeterminate,Credit Suisse,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,"10,623.00",, Cash - Pending ,1,1,1,12/29/2017,Bloomberg,,,,23300,23300,23300,23300,,,1, -   , -   ,,_WELLS_FARGO_CASH,,,Position 233,Position 233,USD,Indeterminate,_WELLS_FARGO_CASH,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-169.00,, N.A. ,1,39.85,39.85,12/29/2017,Bloomberg,,,,23400,23400,23400,23400,,,44.27, -   , -   ,,CREDIT SUISSE,,,Position 234,Position 234,USD,Indeterminate,Credit Suisse,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-346.00,, N.A. ,1,64.64,64.64,12/29/2017,Bloomberg,,,,23500,23500,23500,23500,,,55.96, -   , -   ,,MORGAN STANLEY,,,Position 235,Position 235,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 1,12/31/2017,USD       ,20.00,, N.A. ,1,1.37,1.37,12/29/2017,Bloomberg,,,,23600,23600,23600,23600,,,1.37, -   , -   ,,OTHER,,,Position 236,Position 236,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-972.00,, N.A. ,1,36.02,36.02,12/29/2017,Bloomberg,,,,23700,23700,23700,23700,,,34.56, -   , -   ,,_WELLS_FARGO_CASH,,,Position 237,Position 237,USD,Indeterminate,_WELLS_FARGO_CASH,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-3,, Cash ,1,1,1,12/29/2017,Bloomberg,,,,23800,23800,23800,23800,,,1, -   , -   ,,MORGAN STANLEY,,,Position 238,Position 238,USD,Indeterminate,Morgan Stanley,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 2,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,"-13,987.00",, N.A. ,1,98,98,12/29/2017,Bloomberg,,,,23900,23900,23900,23900,,,106.67,466.22,466.22,,GOLDMAN SACHS,,,Position 239,Position 239,USD,Indeterminate,Goldman Sachs,,,,43109.33403,OTC Derivative Contracts,Credit Derivatives,CDS - New,Level 2
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,CAD       ,303.00,, Cash ,0.8,0.8,0.8,12/29/2017,Bloomberg,,,,24000,24000,24000,24000,,,0.8, -   , -   ,,CITIGROUP,,,Position 240,Position 240,USD,Indeterminate,CitiGroup,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-489.00,, N.A. ,1,31.86,31.86,12/29/2017,Bloomberg,,,,24100,24100,24100,24100,,,30.47, -   , -   ,,_WELLS_FARGO_CASH,,,Position 241,Position 241,USD,Indeterminate,_WELLS_FARGO_CASH,,,,43109.30903,Corporate Equity,Depository Receipt,ADR,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-75.00,, N.A. ,1,174.3,174.3,12/29/2017,Bloomberg,,,,24200,24200,24200,24200,,,154.67, -   , -   ,,CITIGROUP,,,Position 242,Position 242,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 1,12/31/2017,USD       ,558.00,, N.A. ,1,4.18,4.18,12/29/2017,Bloomberg,,,,24300,24300,24300,24300,,,4.03, -   , -   ,,MORGAN STANLEY,,,Position 243,Position 243,USD,Indeterminate,Morgan Stanley,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,MXN       ,0,, Cash ,0.05,0.05,0.05,12/29/2017,Bloomberg,,,,24400,24400,24400,24400,,,0.05, -   , -   ,,MORGAN STANLEY,,,Position 244,Position 244,USD,Indeterminate,Morgan Stanley,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-5,, Professional Fees - Other Payable ,1,1,1,12/29/2017,Bloomberg,,,,24500,24500,24500,24500,,,1, -   , -   ,,MORGAN STANLEY,,,Position 245,Position 245,USD,Indeterminate,Morgan Stanley,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-224.00,, N.A. ,1,120.66,120.66,12/29/2017,Bloomberg,,,,24600,24600,24600,24600,,,116.81, -   , -   ,,CREDIT SUISSE,,,Position 246,Position 246,USD,Indeterminate,Credit Suisse,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,EUR       ,-84.00,, N.A. ,1.2,13.16,15.8,12/29/2017,Bloomberg,,,,24700,24700,24700,24700,,,16.23, -   , -   ,,CREDIT SUISSE,,,Position 247,Position 247,USD,Indeterminate,Credit Suisse,,,,43109.30903,Corporate Equity,Common Stock,Non-US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-245.00,, DividendsPayable ,1,1,1,12/29/2017,Bloomberg,,,,24800,24800,24800,24800,,,1, -   , -   ,,CITIGROUP,,,Position 248,Position 248,USD,Indeterminate,CitiGroup,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 1,12/31/2017,USD       ,355.00,, N.A. ,1,0.59,0.59,12/29/2017,Bloomberg,,,,24900,24900,24900,24900,,,0.59, -   , -   ,,OTHER,,,Position 249,Position 249,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 1,12/31/2017,USD       ,54.00,, N.A. ,1,0.24,0.24,12/29/2017,Bloomberg,,,,25000,25000,25000,25000,,, -   , -   , -   ,,OTHER,,,Position 250,Position 250,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,584.00,, N.A. ,1,53.84,53.84,12/29/2017,Bloomberg,,,,25100,25100,25100,25100,,,49.56, -   , -   ,,_WELLS_FARGO_CASH,,,Position 251,Position 251,USD,Indeterminate,_WELLS_FARGO_CASH,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-221.00,, N.A. ,1,64.64,64.64,12/29/2017,Bloomberg,,,,25200,25200,25200,25200,,,52.37, -   , -   ,,CITIGROUP,,,Position 252,Position 252,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,"2,000.00",, Cash ,1,1,1,12/29/2017,Bloomberg,,,,25300,25300,25300,25300,,,1, -   , -   ,,BONY,,,Position 253,Position 253,USD,Indeterminate,BONY,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 1,12/31/2017,USD       ,"1,010.00",, N.A. ,1,0.95,0.95,12/29/2017,Bloomberg,,,,25400,25400,25400,25400,,,1, -   , -   ,,OTHER,,,Position 254,Position 254,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,"-6,503.00",, Cash - Pending ,1,1,1,12/29/2017,Bloomberg,,,,25500,25500,25500,25500,,,1, -   , -   ,,MORGAN STANLEY,,,Position 255,Position 255,USD,Indeterminate,Morgan Stanley,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,2,, N.A. ,1,1.27,1.27,12/29/2017,Bloomberg,,,,25600,25600,25600,25600,,,1.44, -   , -   ,,MORGAN STANLEY,,,Position 256,Position 256,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Derivative Contracts,Listed Equity Option,Listed Equity Option,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,354.00,, N.A. ,1,37.8,37.8,12/29/2017,Bloomberg,,,,25700,25700,25700,25700,,,31.86, -   , -   ,,MORGAN STANLEY,,,Position 257,Position 257,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Depository Receipt,Depository Receipt,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,"257,128.00",, Cash ,1,1,1,12/29/2017,Bloomberg,,,,25800,25800,25800,25800,,,1, -   , -   ,,CITIBANK_CHECKING,,,Position 258,Position 258,USD,Indeterminate,Citibank_Checking,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,0,, N.A. ,1,"6,408.75","6,408.75",12/29/2017,Bloomberg,,,,25900,25900,25900,25900,,,"6,402.45", -   , -   ,,CITIGROUP,,,Position 259,Position 259,USD,Indeterminate,CitiGroup,,,,43109.30903,Derivative Contracts,Index Futures,Index Future,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-9,, Stock Loan Payable ,1,1,1,12/29/2017,Bloomberg,,,,26000,26000,26000,26000,,,1, -   , -   ,,STATE STREET,,,Position 260,Position 260,USD,Indeterminate,State Street,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,"1,361.00",, Cash - Pending ,1,1,1,12/29/2017,Bloomberg,,,,26100,26100,26100,26100,,,1, -   , -   ,,STATE STREET,,,Position 261,Position 261,USD,Indeterminate,State Street,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-218.00,, N.A. ,1,50.28,50.28,12/29/2017,Bloomberg,,,,26200,26200,26200,26200,,,34.07, -   , -   ,,MORGAN STANLEY,,,Position 262,Position 262,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-286.00,, N.A. ,1,21.8,21.8,12/29/2017,Bloomberg,,,,26300,26300,26300,26300,,,18.41, -   , -   ,,CITIGROUP,,,Position 263,Position 263,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-30.00,, N.A. ,1,21.8,21.8,12/29/2017,Bloomberg,,,,26400,26400,26400,26400,,,24.08, -   , -   ,,MORGAN STANLEY,,,Position 264,Position 264,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-15.00,, Bank Fee Payable ,1,1,1,12/29/2017,Bloomberg,,,,26500,26500,26500,26500,,,1, -   , -   ,,STATE STREET,,,Position 265,Position 265,USD,Indeterminate,State Street,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,286.00,, N.A. ,1,56.92,56.92,12/29/2017,Bloomberg,,,,26600,26600,26600,26600,,,59.71, -   , -   ,,CREDIT SUISSE,,,Position 266,Position 266,USD,Indeterminate,Credit Suisse,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,0,, Other Receivable ,1,1,1,12/29/2017,Bloomberg,,,,26700,26700,26700,26700,,,1, -   , -   ,,JPM,,,Position 267,Position 267,USD,Indeterminate,JP Morgan Chase,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 3,,Not Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,450.00,, N.A. ,1, -   , -   ,12/29/2017,Bloomberg,,,,26800,26800,26800,26800,,,1, -   , -   ,,MORGAN STANLEY,,,Position 268,Position 268,USD,Indeterminate,Morgan Stanley,,,,43109.33264,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-148.00,, N.A. ,1,29.98,29.98,12/29/2017,Bloomberg,,,,26900,26900,26900,26900,,,28.97, -   , -   ,,CITIGROUP,,,Position 269,Position 269,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-573.00,, N.A. ,1,20.64,20.64,12/29/2017,Bloomberg,,,,27000,27000,27000,27000,,,19.3, -   , -   ,,CITIGROUP,,,Position 270,Position 270,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Partnership Shares,Partnership Shares,Level 1
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 1,12/31/2017,USD       ,177.00,, N.A. ,1,0.87,0.87,12/29/2017,Bloomberg,,,,27100,27100,27100,27100,,, -   , -   , -   ,,OTHER,,,Position 271,Position 271,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,AUD       ,0,, Cash ,0.78,0.78,0.78,12/29/2017,Bloomberg,,,,27200,27200,27200,27200,,,0.76, -   , -   ,,MORGAN STANLEY,,,Position 272,Position 272,USD,Indeterminate,Morgan Stanley,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,91.00,, N.A. ,1,31.44,31.44,12/29/2017,Bloomberg,,,,27300,27300,27300,27300,,,25.67, -   , -   ,,MORGAN STANLEY,,,Position 273,Position 273,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,EUR       ,"2,058.00",, N.A. ,1.2,9.06,10.88,12/29/2017,Bloomberg,,,,27400,27400,27400,27400,,,11.14, -   , -   ,,MORGAN STANLEY,,,Position 274,Position 274,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,Non-US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-1,, DividendWithholdingTaxPayable ,1,1,1,12/29/2017,Bloomberg,,,,27500,27500,27500,27500,,,1, -   , -   ,,MORGAN STANLEY,,,Position 275,Position 275,USD,Indeterminate,Morgan Stanley,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-169.00,, Interest Payable - Swaps ,1,1,1,12/29/2017,Bloomberg,,,,27600,27600,27600,27600,,,1, -   , -   ,,CITIGROUP,,,Position 276,Position 276,USD,Indeterminate,CitiGroup,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-514.00,, N.A. ,1,19.01,19.01,12/29/2017,Bloomberg,,,,27700,27700,27700,27700,,,19.56, -   , -   ,,CREDIT SUISSE,,,Position 277,Position 277,USD,Indeterminate,Credit Suisse,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,EUR       ,"-4,872.00",, SpotFxPayable ,1.2,1.2,1.2,12/29/2017,Bloomberg,,,,27800,27800,27800,27800,,,1.19, -   , -   ,,MORGAN STANLEY,,,Position 278,Position 278,USD,Indeterminate,Morgan Stanley,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,962.00,, N.A. ,1,55.01,55.01,12/29/2017,Bloomberg,,,,27900,27900,27900,27900,,,53.93, -   , -   ,,MORGAN STANLEY,,,Position 279,Position 279,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-12.00,, N.A. ,1,208.26,208.26,12/29/2017,Bloomberg,,,,28000,28000,28000,28000,,,205.99, -   , -   ,,CITIGROUP,,,Position 280,Position 280,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,227.00,, N.A. ,1,29.52,29.52,12/29/2017,Bloomberg,,,,28100,28100,28100,28100,,,12.6, -   , -   ,,CREDIT SUISSE,,,Position 281,Position 281,USD,Indeterminate,Credit Suisse,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,35.00,, N.A. ,1,192.43,192.43,12/29/2017,Bloomberg,,,,28200,28200,28200,28200,,,145.46, -   , -   ,,CITIGROUP,,,Position 282,Position 282,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,60.00,, N.A. ,1,223.66,223.66,12/29/2017,Bloomberg,,,,28300,28300,28300,28300,,,222.98, -   , -   ,,_WELLS_FARGO_CASH,,,Position 283,Position 283,USD,Indeterminate,_WELLS_FARGO_CASH,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-71.00,, N.A. ,1,105.22,105.22,12/29/2017,Bloomberg,,,,28400,28400,28400,28400,,,107.74, -   , -   ,,MORGAN STANLEY,,,Position 284,Position 284,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,287.00,, N.A. ,1,28.84,28.84,12/29/2017,Bloomberg,,,,28500,28500,28500,28500,,,29.85, -   , -   ,,CITIGROUP,,,Position 285,Position 285,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,162.00,, N.A. ,1,29.52,29.52,12/29/2017,Bloomberg,,,,28600,28600,28600,28600,,,21.22, -   , -   ,,MORGAN STANLEY,,,Position 286,Position 286,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,208.00,, N.A. ,1,72.26,72.26,12/29/2017,Bloomberg,,,,28700,28700,28700,28700,,,68.86, -   , -   ,,_WELLS_FARGO_CASH,,,Position 287,Position 287,USD,Indeterminate,_WELLS_FARGO_CASH,,,,43109.30903,Corporate Equity,Index Shares,ETF,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-234.00,, N.A. ,1,208.26,208.26,12/29/2017,Bloomberg,,,,28800,28800,28800,28800,,,165.99, -   , -   ,,MORGAN STANLEY,,,Position 288,Position 288,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-306.00,, N.A. ,1,39.85,39.85,12/29/2017,Bloomberg,,,,28900,28900,28900,28900,,,45.39, -   , -   ,,CITIGROUP,,,Position 289,Position 289,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,111.00,, N.A. ,1,130.39,130.39,12/29/2017,Bloomberg,,,,29000,29000,29000,29000,,,108.72, -   , -   ,,CITIGROUP,,,Position 290,Position 290,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 1,12/31/2017,USD       ,0,, N.A. ,1, -   , -   ,12/29/2017,Bloomberg,,,,29100,29100,29100,29100,,,"25,000.00", -   , -   ,,OTHER,,,Position 291,Position 291,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,150.00,, N.A. ,1,169.23,169.23,12/29/2017,Bloomberg,,,,29200,29200,29200,29200,,,175.62, -   , -   ,,_WELLS_FARGO_CASH,,,Position 292,Position 292,USD,Indeterminate,_WELLS_FARGO_CASH,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 2,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,EUR       ,"-1,049.00",, N.A. ,1.2,1,1.2,12/31/2017,Bloomberg,,,,29300,29300,29300,29300,,,1.18, -   , -   ,,MORGAN STANLEY,,,Position 293,Position 293,USD,Indeterminate,Morgan Stanley,,,,43109.33542,OTC Derivative Contracts,FX Forwards,FX Forwards,Level 2
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,533.00,, N.A. ,1,53.84,53.84,12/29/2017,Bloomberg,,,,29400,29400,29400,29400,,,44.39, -   , -   ,,CITIGROUP,,,Position 294,Position 294,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-279.00,, N.A. ,1,42.22,42.22,12/29/2017,Bloomberg,,,,29500,29500,29500,29500,,,39.55, -   , -   ,,CREDIT SUISSE,,,Position 295,Position 295,USD,Indeterminate,Credit Suisse,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 1,12/31/2017,USD       ,49.00,, N.A. ,1,0.74,0.74,12/29/2017,Bloomberg,,,,29600,29600,29600,29600,,,0.66, -   , -   ,,OTHER,,,Position 296,Position 296,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,117.00,, Stock Loan Payable ,1,1,1,12/29/2017,Bloomberg,,,,29700,29700,29700,29700,,,1, -   , -   ,,_WELLS_FARGO_CASH,,,Position 297,Position 297,USD,Indeterminate,_WELLS_FARGO_CASH,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,"1,082.00",, Other Receivable ,1,1,1,12/29/2017,Bloomberg,,,,29800,29800,29800,29800,,,1, -   , -   ,,OTHER,,,Position 298,Position 298,USD,Indeterminate,Other,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-194.00,, N.A. ,1,51.7,51.7,12/29/2017,Bloomberg,,,,29900,29900,29900,29900,,,51.35, -   , -   ,,CITIGROUP,,,Position 299,Position 299,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 1,12/31/2017,USD       ,914.00,, N.A. ,1,4.5,4.5,12/29/2017,Bloomberg,,,,30000,30000,30000,30000,,,4.89, -   , -   ,,OTHER,,,Position 300,Position 300,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 1,12/31/2017,USD       ,115.00,, N.A. ,1,0.77,0.77,12/29/2017,Bloomberg,,,,30100,30100,30100,30100,,,0.76, -   , -   ,,OTHER,,,Position 301,Position 301,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,101.00,, N.A. ,1,56.92,56.92,12/29/2017,Bloomberg,,,,30200,30200,30200,30200,,,56.04, -   , -   ,,MORGAN STANLEY,,,Position 302,Position 302,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,"-3,779.00",, Cash ,1,1,1,12/29/2017,Bloomberg,,,,30300,30300,30300,30300,,,1, -   , -   ,,MORGAN STANLEY,,,Position 303,Position 303,USD,Indeterminate,Morgan Stanley,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
